MATERIAL	DESC_MAT	QTDE	X	Y	Z
123703	RELAY 24VDC 1 DIN RAIL; SPDT TERMINAL BLOCK RELAY	1,00	A	028	2
123703	RELAY 24VDC 1 DIN RAIL; SPDT TERMINAL BLOCK RELAY	1,00	I	018	1
123731	CB 10A 3P 480V; 6.3A-10.0A OVERLOAD CB 10A 3P 480V	6,00	A	027	2
123733	CB 20A 3P 480V; 14.5A-20.0A OVERLOAD CB 20A 3P 480	1,00	A	028	2
123734	CB 25A 3P 480V; 18.0A-25.0A OVERLOAD CB 25A 3P 480	1,00	A	028	2
123735	CB 45A 3P 480V; 32.0A-45.0A OVERLOAD DISJUNTOR MOT	1,00	A	027	2
123825	DISJUNTOR CB 63A 2P 480V 30MA, REF. LORAM 123825,	1,00	A	027	2
124337	124337 - MANOMETRO DE PRESSAO, UTILIZADO NO MONITO	1,00	A	028	2
124337	124337 - MANOMETRO DE PRESSAO, UTILIZADO NO MONITO	10,00	I	022	5
124354	124354-REGULADOR DE VOLTAGEM DE TENSAO PARA MAQUIN	1,00	I	025	4
124433	124433-ACOPLAMENTO ESTRIADO, MODELO 13T 16/32DP X	1,00	A	028	2
124466	MOBIL MOBILITH SHC 220 BD	4,00	K	020	1
124629	124629-VALVULA DE RETENCAO RESPONSAVEL PELAS MOVIM	1,00	A	028	2
125692	125692-RETIFICADOR DE CORRENTE ELETRICA PARA MAQUI	1,00	J	018	1
126293	126293-RESFRIADOR SOPRADOR LH, 5 HP RESPONSAVEL PE	1,00	A	030	3
126294	126294-RESFRIADOR SOPRADOR RH, 5 HP RESPONSAVEL PE	1,00	I	013	4
126450	CONT MS 480V 4NO AUX; FRONT MOUNT BLOCO CONTATO AU	1,00	K	020	1
126588	126588-INTERRUPTOR, MODELO MAE DE 3 POSICOES RESPO	1,00	A	028	2
126991	3 - LF9070 - FILTRO OLEO LUBRIF VENTURI COMBO-MOTO	4,00	K	020	1
127064	DISJUNTOR CB 1A 1P 480V, REF. LORAM 127064, PARA U	2,00	A	028	2
127104	CONT MS 85A 480V 3P; 24VDC COIL NO CONTACTS CONTAT	1,00	A	027	2
127104	CONT MS 85A 480V 3P; 24VDC COIL NO CONTACTS CONTAT	1,00	A	028	2
127132	127132-INTERRUPTOR DE DESCONECCAO 3P 60A 1NO, NAO	1,00	I	023	4
127233	CABO RTD MONTADO 10 PES UTILIZADO PARA A LIGACAO D	3,00	0	0	0
127273	127273-DIODO DE POLARIDADE PADRAO RESPONSAVEL PELA	1,00	A	028	2
127274	127274-DIODO COM POLARIDADE REVERSA PARA MAQUINA F	1,00	A	028	2
127469	FONTE DE ALIMENTACAO 24 VDC 20A, REF. LORAM 127469	1,00	A	027	2
127532	127532-MANOMETRO DUPLEX (BC-BP), ESCALA DUAL PSI E	1,00	A	028	2
127780	127780-INTERRUPTOR ELETRICO 3T 100A PARA USO NO SE	1,00	I	023	4
128079	PLC CABLE ANALOG 39 IN.; PLC MOD TO IFM PLC CABLE	1,00	A	028	2
128080	PLC CABLE ANALOG 39 IN.; PLC MOD TO IFM PLC CABLE	26,00	I	022	5
128083	PLC CABLE DIGITAL 59 IN.; PLC MOD TO IFM PLC CABLE	1,00	A	027	2
128084	PLC CABLE ANALOG 39 IN; PLC MOD TO IFM PLC CABLE A	1,00	A	027	2
128268	PLC 1794 CONTROL NET; REDUNDANT COMM INTERFACE PLC	1,00	A	027	2
128270	PLC 1794 DIGITAL INPUT; 16 24VDC INPUTS MODULO DE	1,00	K	020	1
128271	PLC 1794 DIGITAL OUTPUT; 8 RELAY CONTACT OUTPUTS P	1,00	A	027	2
128434	128434-CONJUNTO DO MODULO, C/ EIXO DO MOTOR CONICO	15,00	A	028	2
129189	129189-CONECTOR COAXIAL DE CRIMPAGEM PARA MAQUINA	3,00	A	028	2
129197	129197-ADAPTADOR EM T, 04FX04MX04M, PARA USO EM VE	1,00	A	028	2
129420	CONTADOR DS 480V CONTADOR DS 480V CONTADOR DS 480V	1,00	A	028	2
129421	ALCA SELETORA VERM/AMAR NEMA 4X ALCA SELETORA VERM	1,00	A	028	2
129423	EIXO DS PARA PUNHO EIXO DS PARA PUNHO EIXO DS PARA	1,00	A	028	2
129527	129527-TRANSDUTOR DE PRESSAO 200 PSI 04 MORB 6-30V	1,00	A	027	2
129635-0036.00	129635-0036.00-MANGUEIRA,RESPONSAVEL POR REALIZAR	3,00	A	029	4
129635-0048.00	129635-0048.00-MANGUEIRA CURTA COM CONEXOES, REF.	3,00	A	029	4
129635-0054.00	129635-0054.00-MANGUEIRA DE BORRACHA COM CONEXOES	3,00	A	029	4
131682	131682-INTERRUPTOR DE PRESSAO MODELO PSI 360 A 170	1,00	A	028	2
132107	132107-INTERRUPTOR DS 600V 3P 16A, NAO FUSIVEL PAR	1,00	A	027	2
132107	132107-INTERRUPTOR DS 600V 3P 16A, NAO FUSIVEL PAR	1,00	J	021	1
132244	132244-TAMPA DA CAIXA DE JUNCAO ELETRICA PARA MAQU	1,00	A	027	2
132463	132463-SAPATA DE FREIO PARA MAQUINA FERROVIARIA 13	6,00	A	029	4
134374	ANEL EM "O" 3.237ID X 0.103CS AS568-152 70DURO BUN	20,00	A	027	2
134374	ANEL EM "O" 3.237ID X 0.103CS AS568-152 70DURO BUN	2,00	A	028	2
134567	134567-SAPATA DE FREIO PARA MAQUINA FERROVIARIA 13	3,00	A	029	4
134820	134820-MANOMETRO 0-15 WC 2X SPDT OUTPUTS PARA MAQU	1,00	A	028	2
134832	134832-TRANSFORMADOR MODELO 5KVA, 240X480-120/240V	1,00	I	010	3
135814	135814-MANOMETRO INDICADOR PARA USO NO SETOR FERRO	1,00	A	028	2
136247	136247-STONE STOP, MONTADO NO EIXO DO MOTOR UTILIZ	5,00	I	023	4
137578	ADAPTADOR RETO 08FORFS 08MPNT; GIRATORIO RESPONSAV	2,00	0	0	0
139211	139211-PARAFUSO SOQUETE - HD SHLDR 0.38 - 16 NCX 2	15,00	A	028	2
139212	139212-PARAFUSO SEXTAVADO DE ACO PARA USO EM MAQUI	13,00	A	028	2
139275	REDUCAO DE BUCHA DE CONDUTA; RIGIDO; 2,00 POLEGADA	2,00	0	0	0
140479	140479-KIT DE VEDACAO D05, PLACA DE VEDACAO COM O-	2,00	A	028	2
142571	PARAFUSO CABECA HEXAGONAL M20X2.50X220 GR10.9, ZIN	1,00	A	028	2
143331	DISJUNTOR 30A 1P 120/240VAC EPD 30MA, REF. LORAM 1	2,00	A	027	2
143523	143523-CONECTOR TIPO RJ PARA MAQUINA FERROVIARIA 1	3,00	A	028	2
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	G	009	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	G	012	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	G	013	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	G	021	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	G	024	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	H	003	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	H	013	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	H	018	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	H	020	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	H	021	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	I	001	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	I	004	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	I	005	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	I	007	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	I	010	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	I	012	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	I	013	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	I	017	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	I	022	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	J	001	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	J	006	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	J	006	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	J	010	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	J	011	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	J	014	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	J	016	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	36,00	K	001	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	K	002	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	K	004	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	K	005	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	K	007	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	K	009	1
144591	REBOLO T02 260,0X76,2X152,40 NZ14/9ZBX384C10V	90,00	K	010	1
